Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Bwd_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Flow_Bytes_s,Flow_Packets_s,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,ACK_Flag_Count,Protocol
8080,19751,22,8,924,4375,268.29,1.52,0,1,0,1,tcp
80,15785,22,3,1269,4617,372.89,1.58,1,1,0,1,tcp
4444,29769,41,68,45658,104478,5043.37,3.66,0,1,0,1,tcp
80,6844,16,20,1242,4465,833.87,5.26,0,1,0,1,tcp
3389,19502,67,181,13792,15555,1504.82,12.72,1,1,1,1,tcp
443,876,864,1,798531,91,911668.95,987.44,0,1,0,0,tcp
48556,273,1,0,117,35,556.78,3.66,0,1,1,0,udp
19458,399,2,1,43,53,240.6,7.52,0,1,1,0,tcp
5555,15675,53,93,52606,147791,12784.5,9.31,0,1,0,1,tcp
443,11035,9,22,756,3780,411.06,2.81,0,1,0,1,tcp
80,11736,10,16,637,3133,321.23,2.22,0,1,0,1,tcp
80,18637,4,2,1409,4673,326.34,0.32,0,1,0,1,tcp
80,5104,32,33,33380,73335,20908.11,12.74,0,1,0,1,tcp
443,7241,16,15,1340,5236,908.16,4.28,0,1,0,1,tcp
80,18602,11,29,774,5542,339.53,2.15,0,1,0,1,tcp
8080,8374,24,38,9059,65820,8941.84,7.4,0,1,0,1,tcp
80,2637,3,11,1350,5658,2657.57,5.31,0,1,0,1,tcp
80,21157,124,177,15230,20707,1698.59,14.23,1,1,1,1,tcp
22,4764,21,14,403,4845,1101.6,7.35,0,1,0,1,tcp
80,42946,23,25,917,5903,158.8,1.12,0,1,0,1,tcp
5555,54417,22,75,46736,114209,2957.62,1.78,0,1,0,1,tcp
443,954,684,2,327789,129,343729.56,719.08,0,1,0,0,tcp
443,1539,546,3,333734,202,216982.46,356.73,0,1,1,0,tcp
443,6877,21,3,1376,6690,1172.9,3.49,1,1,0,1,tcp
80,25666,119,142,22043,7811,1163.17,10.17,1,1,1,1,tcp
6547,355,1,0,58,19,216.9,2.82,0,1,1,0,icmp
443,7334,19,9,1083,3614,640.44,3.82,1,1,0,1,tcp
443,13561,44,16,22075,26371,3572.45,4.42,0,1,0,1,tcp
443,996,553,4,267796,159,269031.12,559.24,0,1,0,0,tcp
80,18077,17,4,1114,5565,369.48,1.16,0,1,0,1,tcp
22,10539,153,133,20586,7557,2670.37,27.14,1,1,1,1,tcp
80,4961,27,11,10869,71135,16529.73,7.66,0,1,0,1,tcp
443,34736,87,52,23987,78871,2961.14,4.0,0,1,0,1,tcp
46215,204,1,1,72,47,583.33,9.8,0,1,1,0,icmp
80,4195,7,7,1463,4260,1364.24,3.34,0,1,0,1,tcp
8080,69790,47,19,4067,4900,128.49,0.95,0,1,0,1,tcp
8080,1315,1372,0,861851,219,655566.54,1043.35,0,1,1,0,tcp
4444,53525,56,43,23420,116752,2618.81,1.85,0,1,0,1,tcp
8080,1222,999,0,798307,190,653434.53,817.51,0,1,0,0,tcp
53,5717,19,26,1528,4164,995.63,7.87,0,1,0,1,udp
80,16682,24,3,943,3472,264.66,1.62,0,1,0,1,tcp
22,17533,88,75,10986,23225,1951.23,9.3,1,1,1,1,tcp
22,28355,184,106,17323,9780,955.85,10.23,1,1,1,1,tcp
80,7582,15,13,731,6500,953.71,3.69,0,1,0,1,tcp
80,60128,23,27,1076,5095,102.63,0.83,1,1,0,1,tcp
443,5932,9,22,1563,4348,996.46,5.23,1,1,0,1,tcp
8080,922,1235,3,244476,369,265558.57,1342.73,0,1,1,0,tcp
26259,154,2,0,58,57,746.75,12.99,0,1,1,0,icmp
80,1264,10,13,839,4165,3958.86,18.2,1,1,0,1,tcp
443,18807,9,14,1313,6151,396.87,1.22,0,1,0,1,tcp
