duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate
6,tcp,http,SF,1129,4265,11,11,0.04,0.03,0.96,0.0
26,tcp,domain_u,SF,87,179,89,50,0.06,0.0,0.96,0.0
1,tcp,http,SF,1266,3732,12,7,0.05,0.02,0.98,0.07
0,tcp,private,S0,0,0,423,238,1.0,0.0,0.98,0.02
2,tcp,http,SF,1039,4494,14,1,0.01,0.03,0.9,0.05
0,tcp,private,S0,0,0,459,340,0.98,0.0,0.94,0.02
20,tcp,private,SF,470,89,161,190,0.08,0.48,0.93,0.03
3,udp,smtp,SF,1374,5387,3,3,0.04,0.0,0.9,0.01
91,tcp,other,SF,5104,5454,2,4,0.0,0.0,1.0,0.0
8,udp,smtp,S0,64,98,86,2,0.74,0.49,0.09,0.69
2,icmp,http,SF,1182,5461,13,4,0.05,0.01,0.91,0.08
0,icmp,dns,SF,1350,5658,6,12,0.04,0.01,0.98,0.05
98,tcp,http,SF,3237,324,1,1,0.0,0.0,0.93,0.0
0,tcp,http,SF,807,7443,1,3,0.01,0.01,0.88,0.02
0,tcp,private,S0,0,0,329,262,0.91,0.0,0.93,0.01
12,tcp,http,REJ,58,1,41,4,0.42,0.31,0.19,0.68
1,tcp,http,SF,1542,5251,11,1,0.04,0.02,0.94,0.06
0,tcp,private,S0,0,0,389,293,0.98,0.0,0.93,0.01
1,tcp,http,SF,734,4568,7,4,0.05,0.02,0.93,0.08
13,udp,other,S0,93,41,46,4,0.47,0.59,0.13,0.69
50,tcp,domain_u,SF,246,86,61,88,0.02,0.0,0.93,0.04
29,tcp,smtp,SF,4191,772,8,4,0.0,0.0,0.82,0.0
4,tcp,http,SF,1287,3785,13,2,0.01,0.03,0.95,0.07
2,icmp,smtp,SF,1489,4912,1,1,0.03,0.03,0.95,0.03
0,tcp,private,S0,0,0,379,200,0.99,0.0,0.96,0.04
0,tcp,private,S0,0,0,433,466,0.95,0.0,0.96,0.04
10,tcp,http,SF,1298,5006,5,8,0.02,0.03,0.94,0.1
0,icmp,http,SF,797,2878,6,10,0.05,0.0,0.88,0.07
0,icmp,smtp,SF,1325,3771,7,13,0.01,0.02,0.89,0.06
0,tcp,http,SF,1150,3812,14,12,0.04,0.0,0.94,0.04
3,udp,other,RSTR,21,57,97,2,0.5,0.22,0.1,0.79
3,udp,http,SF,1082,4938,14,3,0.03,0.04,1.0,0.05
3,icmp,http,SF,1351,5365,5,1,0.01,0.01,0.89,0.05
10,tcp,http,REJ,63,62,108,2,0.69,0.22,0.13,0.66
0,icmp,http,SF,1035,5596,14,14,0.03,0.0,0.99,0.09
0,tcp,http,SF,1780,4913,8,7,0.05,0.04,0.95,0.08
8,tcp,http,REJ,50,42,51,3,0.73,0.46,0.08,0.7
0,udp,http,SF,853,6070,10,10,0.02,0.01,0.92,0.07
5,icmp,dns,SF,534,5889,8,3,0.05,0.02,0.91,0.08
5,tcp,http,SF,1447,5313,9,14,0.05,0.03,0.97,0.03
21,tcp,private,SF,595,196,155,88,0.03,0.78,1.0,0.03
0,tcp,private,S0,0,0,218,248,0.96,0.0,0.96,0.01
20,tcp,private,SF,768,88,188,121,0.1,0.8,0.91,0.04
0,tcp,private,S0,0,0,480,295,1.0,0.0,0.97,0.04
26,tcp,other,SF,7293,16964,4,2,0.0,0.0,1.0,0.0
4,udp,http,SF,1518,4737,6,4,0.01,0.05,0.94,0.04
6,udp,other,S0,73,89,58,3,0.57,0.3,0.11,0.8
14,icmp,http,S0,0,2,116,4,0.78,0.35,0.09,0.9
6,udp,http,SF,1220,5483,11,12,0.0,0.03,1.0,0.05
0,tcp,private,S0,0,0,163,292,0.95,0.0,0.96,0.03
